Path object_type object_name object_size parant_directory
"D:\Рабочий стол\Обучение GB" Directory Python-fin 1752158672 "Обучение GB"
"D:\Рабочий стол\Обучение GB\Python-fin\" Directory venv 875982066 Python-fin
"D:\Рабочий стол\Обучение GB\Python-fin\.git" Directory refs 246 .git
"D:\Рабочий стол\Обучение GB\Python-fin\.git\hooks" File update.sample 3650 hooks
"D:\Рабочий стол\Обучение GB\Python-fin\.git\info" File exclude 240 info
"D:\Рабочий стол\Обучение GB\Python-fin\.git\logs" Directory refs 3692 logs
"D:\Рабочий стол\Обучение GB\Python-fin\.git\logs\refs" Directory remotes 1216 refs
"D:\Рабочий стол\Обучение GB\Python-fin\.git\logs\refs\heads" File master 630 heads
"D:\Рабочий стол\Обучение GB\Python-fin\.git\logs\refs\remotes" Directory origin 608 remotes
"D:\Рабочий стол\Обучение GB\Python-fin\.git\logs\refs\remotes\origin" File master 608 origin
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects" Directory pack 0 objects
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\05" File 997af4085da09ec403f1681f7673d814e09c70 1509 05
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\18" File 94c488f8468a980e0fdb5025a6366f4807eb57 786 18
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\1a" File 4ad7d0caa764154f38dc841745c00f0645a5c6 797 1a
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\3c" File 9ba174d8e28f3b76f5ebc2b36a64a6f1362349 161 3c
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\47" File 198b72d5cd886b8f81950009158e55bdb8c7c9 162 47
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\4b" File 825dc642cb6eb9a060e54bf8d69288fbee4904 15 4b
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\56" File a4b89aed073b36cc28919281b4eb0d93e58975 132 56
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\57" File ee7fec51823f4f62fd213fca0ef4ac7d63f1fb 161 57
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\77" File 915b49e1ad20e0c95fd6bb19b785e1c7e60da1 582 77
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\88" File b749c7cc6b2c0c03ef3df12505800043e80506 1331 88
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\a8" File d09a4342a4cfde8a22d21491393635f5d478a8 162 a8
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\cf" File 7647c5fdf745028328e194c380ee96ff1c7eeb 57 cf
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\d7" File f5a0f0eb4063e9c3c8bd9f87b5818bf3378fa4 110 d7
"D:\Рабочий стол\Обучение GB\Python-fin\.git\objects\ec" File 797c02c44f377485ea05b973c3c4d2fbcbbf34 83 ec
"D:\Рабочий стол\Обучение GB\Python-fin\.git\refs" Directory tags 0 refs
"D:\Рабочий стол\Обучение GB\Python-fin\.git\refs\heads" File master 41 heads
"D:\Рабочий стол\Обучение GB\Python-fin\.git\refs\remotes" Directory origin 41 remotes
"D:\Рабочий стол\Обучение GB\Python-fin\.git\refs\remotes\origin" File master 41 origin
"D:\Рабочий стол\Обучение GB\Python-fin\venv" Directory Scripts 989352 venv
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib" Directory site-packages 218500797 Lib
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages" Directory _distutils_hack 21886 site-packages
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\blinker" Directory __pycache__ 29485 blinker
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\blinker\__pycache__" File __init__.cpython-310.pyc 519 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\blinker-1.6.2.dist-info" File WHEEL 92 blinker-1.6.2.dist-info
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\click" Directory __pycache__ 299041 click
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\click\__pycache__" File __init__.cpython-310.pyc 2638 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\click-8.1.6.dist-info" File WHEEL 92 click-8.1.6.dist-info
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\colorama" Directory __pycache__ 23927 colorama
